entity,region,bucket,has_dot_specific_policy,policy_origin,policy_url,date_issued,contractor_binding,notes
Rhode Island (RIDOT),Northeast,SILENT,No,None active,https://etss.ri.gov/data-and-ai/rhode-island-ai-task-force,2024,No,AI Action Plan only; embrace not regulate
South Carolina (SCDOT),South,ENCOURAGE,No,Statewide AI Strategy (vision-level),https://admin.sc.gov/SCAIStrategy,2024-06,No,Three Ps: Protect Promote Pursue
South Dakota (SDDOT),Midwest,PARTIAL,No,State CIO (BIT),https://www.sd.gov/bit?id=bit_standards_ai_guidance,2024,No,Best-practice guidance not prohibition
Tennessee (TDOT),South,ENCOURAGE,No,State CIO (Enterprise GenAI Policy),https://www.tn.gov/content/dam/tn/finance/aicouncil/documents/TN%20Enterprise%20Generative%20AI%20Policy.pdf,2024,No,FY26 budget proposes $50M for AI infrastructure
Texas (TxDOT),South,ENCOURAGE,Yes,DOT direct,https://www.txdot.gov/about/leadership/strategic-plans/txdot-artificial-intelligence-strategic-plan-update.html,2026-01,No,22000 staff hours saved on invoice automation; M365 Copilot to 940+ staff
Utah (UDOT),West,ENCOURAGE,No,State + UAIPA,https://le.utah.gov/~2024/bills/static/SB0149.html,2024-05,No,UAIPA imposes consumer-facing GenAI disclosure
Vermont (VTrans),Northeast,ENCOURAGE,No,State CIO (ADS),https://digitalservices.vermont.gov/ai,2022,No,Center for Enablement model
Virginia (VDOT),South,ENCOURAGE,No,State CIO (VITA) + EO 30/46,https://www.vita.virginia.gov/media/vitavirginiagov/it-governance/ea/pdf/Utilization-of-Artificial-Intelligence-by-COV-Policy-Standard.pdf,2024-06,No,Piloting AI for cost estimation + pavement management with Deloitte
Washington (WSDOT),West,ENCOURAGE,No,State CIO (WaTech) + EO 24-01,https://watech.wa.gov/policies/interim-guidelines-purposeful-and-responsible-use-generative-artificial-intelligence-ai-washington,2024-01,No,Adopted as statewide IT policy Dec 11 2025
West Virginia (WVDOT),South,SILENT,No,None active,https://technology.wv.gov/policy-governance/artificial-intelligence,2024,No,WVOT AUP listed coming soon
Wisconsin (WisDOT),Midwest,SILENT,No,None at DOT level,https://wisconsindot.gov/documents2/research/0092-24-14-final-report.pdf,2024,No,Research-leaning posture; no use policy
Wyoming (WYDOT),West,SILENT,No,None active,https://ai.wyo.gov/,N/A,No,District-led approach; no DOT AI policy
